Model,Split,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,Validation,0.9647058823529412,1.0,0.90625,0.9508196721311475,0.995872641509434
Logistic Regression,Test,0.9883720930232558,0.9696969696969697,1.0,0.9846153846153847,0.9988425925925927
Support Vector Machine,Validation,0.9764705882352941,0.96875,0.96875,0.96875,0.995872641509434
Support Vector Machine,Test,0.9883720930232558,1.0,0.96875,0.9841269841269841,1.0
K-Nearest Neighbors,Validation,0.9647058823529412,1.0,0.90625,0.9508196721311475,0.9778891509433963
K-Nearest Neighbors,Test,0.9651162790697675,1.0,0.90625,0.9508196721311475,0.9982638888888888
Decision Tree,Validation,0.9058823529411765,0.9615384615384616,0.78125,0.8620689655172413,0.9080188679245284
Decision Tree,Test,0.9186046511627907,1.0,0.78125,0.8771929824561403,0.9927662037037037
Random Forest,Validation,0.9529411764705882,1.0,0.875,0.9333333333333333,0.9946933962264152
Random Forest,Test,0.9883720930232558,1.0,0.96875,0.9841269841269841,0.9988425925925927
